"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc L6b",-0.274160193597552,3.03014253597941,5.66602006182211,0.0187536669350536,0.318642813223053,0.318642813223053,"four_group_var"
"2","AL669831.5","Exc L6b",-0.0817895237906996,5.79230842195664,2.66704242971278,0.104874136901017,0.555432788448441,0.555432788448441,"four_group_var"
"3","NOC2L","Exc L6b",0.0836424451135022,4.83258876578239,2.73863441727549,0.100368910357059,0.550797726276138,0.550797726276138,"four_group_var"
"4","KLHL17","Exc L6b",0.105321932589844,2.89112221656651,0.987507003308046,0.32220473986081,0.768789650237705,0.768789650237705,"four_group_var"
"5","HES4","Exc L6b",0.0581158510878991,4.08463765273823,0.294747398963351,0.588126971962045,0.916951190500602,0.916951190500602,"four_group_var"
"6","ISG15","Exc L6b",0.252775727923063,1.57728051269837,1.39916433059318,0.23902958680493,0.70677250562029,0.70677250562029,"four_group_var"
"7","AGRN","Exc L6b",0.0247949932439382,4.89915551391128,0.127680144982021,0.72143094897315,0.961198088666605,0.961198088666605,"four_group_var"
"8","C1orf159","Exc L6b",-0.0152495622252886,5.95175960358072,0.123708934080631,0.846438869843111,0.992351573821212,0.992351573821212,"four_group_var"
"9","SDF4","Exc L6b",0.0164896139948991,5.23638687982687,0.0960478467623595,0.757122857317068,0.973145827489191,0.973145827489191,"four_group_var"
"10","B3GALT6","Exc L6b",0.0747485296055122,2.95873437939129,0.58133430149177,0.581008786889611,0.913989427906099,0.913989427906099,"four_group_var"
"11","UBE2J2","Exc L6b",0.0733584317239089,4.90635121458161,1.94551075565371,0.165458149748063,0.638602206817664,0.638602206817664,"four_group_var"
"12","LINC01786","Exc L6b",0.177139810495817,2.32921570539664,1.60886795958886,0.20692535891275,0.681756490352984,0.681756490352984,"four_group_var"
"13","SCNN1D","Exc L6b",-0.0888325589187894,2.99387604560158,0.607476151200587,0.437161033483351,0.845804228060879,0.845804228060879,"four_group_var"
"14","ACAP3","Exc L6b",0.00195834988894783,6.67286501344178,0.00296631092138684,0.95664950298794,0.999739843876175,0.999739843876175,"four_group_var"
"15","INTS11","Exc L6b",0.0216268352367441,5.14175411577991,0.232806536713372,0.630264778565018,0.930300514949027,0.930300514949027,"four_group_var"
"16","CPTP","Exc L6b",0.072034036318702,3.06591690483124,0.557017127702942,0.456816675306385,0.855755867270726,0.855755867270726,"four_group_var"
"17","DVL1","Exc L6b",-0.0015607863041046,4.2570579706359,0.000702875829338422,0.978889909000838,0.999739843876175,0.999739843876175,"four_group_var"
"18","AURKAIP1","Exc L6b",0.118321302567671,4.12299833125166,2.15318952459504,0.144697364829099,0.6135153538483,0.6135153538483,"four_group_var"
"19","CCNL2","Exc L6b",-0.00109217771162589,5.76332775565263,0.000702523833151279,0.978895194321517,0.999739843876175,0.999739843876175,"four_group_var"
"20","MRPL20","Exc L6b",-0.0794272272990025,4.60580510725611,1.78848610179686,0.183453795528652,0.657652303618144,0.657652303618144,"four_group_var"
"21","ANKRD65","Exc L6b",0.00541902156071997,1.78450603079805,0.000914648992645074,0.975919661590625,0.999739843876175,0.999739843876175,"four_group_var"
"22","ATAD3C","Exc L6b",0.0353769487247356,1.84186532686292,0.0370247858432028,0.847715866694259,0.992533168845407,0.992533168845407,"four_group_var"
"23","ATAD3B","Exc L6b",-0.0193436369680332,4.27008168667133,0.0760268773193694,0.783194958282599,0.980056782665745,0.980056782665745,"four_group_var"
"24","ATAD3A","Exc L6b",0.0653843773580159,4.19289604747653,0.970827813991969,0.326310251867189,0.772712288308115,0.772712288308115,"four_group_var"
