"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Exc",-0.0919624037786875,3.0624260587599,0.80245279032207,0.37221386237009,0.569229650140785,0.569229650140785,"four_group_var"
"2","AL669831.5","Exc",0.158436071422211,5.88958310521625,10.8822203334144,0.00128926608020585,0.0111099276172269,0.0111099276172269,"four_group_var"
"3","LINC00115","Exc",0.144386996680023,0.464855642374431,0.822561062371108,0.366310247389586,0.563760426550511,0.563760426550511,"four_group_var"
"4","AL645608.7","Exc",0.0399082164031144,-2.2716958412551,0.0253387655125541,0.873802313507792,0.941081315342628,0.941081315342628,"four_group_var"
"5","NOC2L","Exc",-0.018617121093763,4.71553753423244,0.344189625384843,0.558559393158787,0.730097437937883,0.730097437937883,"four_group_var"
"6","KLHL17","Exc",0.0378680746986578,2.79378450046683,0.223212376367797,0.637489614204289,0.789118602658474,0.789118602658474,"four_group_var"
"7","PERM1","Exc",-0.781619657460038,-2.78732718543177,5.47222764167444,0.0210295084126015,0.083858887602283,0.083858887602283,"four_group_var"
"8","AL645608.8","Exc",-0.359372643497595,-0.655381100882714,2.14762655775858,0.145492412332392,0.312148374867979,0.312148374867979,"four_group_var"
"9","HES4","Exc",-0.331242580020044,3.97790712892147,8.44922779571592,0.00437504085405035,0.0271644120964194,0.0271644120964194,"four_group_var"
"10","ISG15","Exc",-0.0656613882048928,1.74356964105558,0.160665637462513,0.689280827108038,0.826477065173708,0.826477065173708,"four_group_var"
"11","AL645608.2","Exc",0.0344205403249477,-1.38602068740012,0.0469947481077362,0.828758000676511,0.915207093915735,0.915207093915735,"four_group_var"
"12","AGRN","Exc",0.0663459010253387,4.96773005621494,1.04590274337864,0.308578014758811,0.506340720350093,0.506340720350093,"four_group_var"
"13","C1orf159","Exc",0.00848915291257133,5.57045784768842,0.0649197515537451,0.799333156954119,0.897387040516001,0.897387040516001,"four_group_var"
"14","TNFRSF18","Exc",-0.161462879473178,0.995681290832264,1.32941485191789,0.251276740483003,0.443281611913098,0.443281611913098,"four_group_var"
"15","TNFRSF4","Exc",0.288392826861572,0.459200963353719,3.04710763306187,0.0835255205600267,0.216374847383047,0.216374847383047,"four_group_var"
"16","SDF4","Exc",-0.0120560864719286,5.07132900034552,0.0398714123561137,0.842081382328859,0.922667606237973,0.922667606237973,"four_group_var"
"17","B3GALT6","Exc",-0.131498608293193,2.59452073406409,5.82712649533052,0.0173428725272183,0.0731538558876691,0.0731538558876691,"four_group_var"
"18","C1QTNF12","Exc",-0.243565642281914,-0.346699787460639,3.95281927846467,0.0491450037480601,0.151696017406277,0.151696017406277,"four_group_var"
"19","UBE2J2","Exc",-0.0584997488138823,4.78104464240391,3.29919923549597,0.0718927393733967,0.19530533092947,0.19530533092947,"four_group_var"
"20","LINC01786","Exc",-0.0844717761024477,2.01983196469858,1.30104046945522,0.256369796967792,0.449184988500849,0.449184988500849,"four_group_var"
"21","SCNN1D","Exc",0.0170276787050614,3.0118734761925,0.0606406137847156,0.805920948961329,0.901035998875724,0.901035998875724,"four_group_var"
"22","ACAP3","Exc",0.0353025941125906,6.53523392264916,1.02590102404499,0.313228727447633,0.511263422403985,0.511263422403985,"four_group_var"
"23","PUSL1","Exc",0.0282534776297114,1.63105541065201,0.170829947043511,0.680137361823841,0.820487074393955,0.820487074393955,"four_group_var"
"24","INTS11","Exc",0.029283785497349,5.28304646260989,0.98870956973675,0.322125029477092,0.519739145418396,0.519739145418396,"four_group_var"
"25","CPTP","Exc",-0.190679759482652,2.79831982143216,17.7570678507264,4.9851792649773e-05,0.00100263146237452,0.00100263146237452,"four_group_var"
"26","TAS1R3","Exc",0.403351306428473,-1.86495489067714,4.72945433484158,0.0316777431243146,0.111349732275983,0.111349732275983,"four_group_var"
"27","DVL1","Exc",0.0213509222590678,4.32300544363933,0.33293691290636,0.565051540499314,0.734396709253534,0.734396709253534,"four_group_var"
"28","MXRA8","Exc",0.106540835046049,-1.55723018954558,0.22437145907149,0.636618247653172,0.788310024979634,0.788310024979634,"four_group_var"
"29","AURKAIP1","Exc",-0.0590456141902582,4.11642492078459,1.04929424158982,0.30779844214681,0.505405787957057,0.505405787957057,"four_group_var"
"30","CCNL2","Exc",0.0503321446324785,5.94078475286514,2.55955717436181,0.11234601579947,0.261559989896741,0.261559989896741,"four_group_var"
"31","MRPL20","Exc",-0.0567996070285676,4.55807499631556,1.8102851605428,0.181094895154735,0.359783599546395,0.359783599546395,"four_group_var"
"32","AL391244.3","Exc",-0.0622514833982766,0.88217789450527,0.644962988888663,0.423559741023405,0.618983723471764,0.618983723471764,"four_group_var"
"33","ANKRD65","Exc",0.102235828170514,2.83408357406739,0.494909103530258,0.483153495314585,0.67084540069904,0.67084540069904,"four_group_var"
"34","VWA1","Exc",-0.244956532924006,-0.933844647435666,1.21590958594647,0.272444492784143,0.466821141514293,0.466821141514293,"four_group_var"
"35","ATAD3C","Exc",0.0794661316425481,2.03362702525208,0.31313857456531,0.576838145967646,0.744069738218064,0.744069738218064,"four_group_var"
"36","ATAD3B","Exc",-0.113969636790605,4.50441204035869,3.32650088115444,0.0707428539355056,0.193309951547051,0.193309951547051,"four_group_var"
"37","ATAD3A","Exc",-0.0618262623845245,3.96995600932067,3.89371416132927,0.050842210781773,0.154856815311872,0.154856815311872,"four_group_var"
"38","TMEM240","Exc",-0.129969989864481,2.09136938156487,2.59373106011428,0.110001818133113,0.258167289342285,0.258167289342285,"four_group_var"
"39","SSU72","Exc",-0.0250709855921971,5.49012558175738,0.707022102049696,0.402161931054819,0.598892288426371,0.598892288426371,"four_group_var"
"40","AL645728.1","Exc",-0.028057394192166,1.82782913635779,0.148165700237376,0.700998441298184,0.834294736004059,0.834294736004059,"four_group_var"
"41","FNDC10","Exc",-0.0614006908778628,3.44363703813656,0.788039758085149,0.376528147363754,0.573400770035369,0.573400770035369,"four_group_var"
"42","AL691432.2","Exc",0.0256610699744485,3.1036859362669,0.278343381363649,0.598795494080617,0.761041861861501,0.761041861861501,"four_group_var"
"43","MIB2","Exc",0.0152076641948233,5.30089561705905,0.142859531937734,0.706144516718326,0.837929312546833,0.837929312546833,"four_group_var"
"44","MMP23B","Exc",0.0547826077784176,1.21122909147817,0.34753802036997,0.556655144909389,0.728619458195759,0.728619458195759,"four_group_var"
"45","CDK11B","Exc",-0.0605593835643437,4.89299994444406,1.43386788508797,0.233572375857614,0.423453690188889,0.423453690188889,"four_group_var"
"46","FO704657.1","Exc",0.0493274762365288,-0.167498564554499,0.19783480666014,0.657302001901279,0.803595618767432,0.803595618767432,"four_group_var"
"47","SLC35E2B","Exc",0.00158311141058046,4.76110549355594,0.000825716037510502,0.977125039596273,0.991066990245452,0.991066990245452,"four_group_var"
"48","CDK11A","Exc",-0.0404581409748383,3.98324251178876,0.163706992983326,0.686510417794138,0.824616954067169,0.824616954067169,"four_group_var"
"49","SLC35E2A","Exc",0.0150684084877259,4.72418230259489,0.0298438102712334,0.863145786253847,0.935377693614913,0.935377693614913,"four_group_var"
"50","NADK","Exc",-0.00551791770185876,3.96846867983299,0.0271794949474721,0.869339153738812,0.939073399043953,0.939073399043953,"four_group_var"
"51","GNB1","Exc",-0.0283319442147932,7.66257912491869,1.8891370873835,0.171945490213692,0.348667244044432,0.348667244044432,"four_group_var"
"52","AL109917.1","Exc",-0.0889146436080469,-1.15356082387561,0.37134914568097,0.543460012125875,0.718767554620941,0.718767554620941,"four_group_var"
