"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh CUX2 MSR1",0.146525842730347,3.29572351611954,0.548108700672669,0.46034654421649,0.854478859470334,0.854478859470334,"four_group_var"
"2","AL669831.5","Inh CUX2 MSR1",0.102668544959342,5.52805050676504,1.99125157463173,0.160455709739004,0.631568588805667,0.631568588805667,"four_group_var"
"3","NOC2L","Inh CUX2 MSR1",0.155858325273075,4.74247705270045,2.46336276547468,0.118814240500227,0.572420607565536,0.572420607565536,"four_group_var"
"4","HES4","Inh CUX2 MSR1",-0.105115949389216,4.70773860194701,0.660617334956429,0.417739054569882,0.830574349144812,0.830574349144812,"four_group_var"
"5","ISG15","Inh CUX2 MSR1",-0.162406154256168,3.40828481781806,0.525437258905189,0.469756113958388,0.859376506595388,0.859376506595388,"four_group_var"
"6","AGRN","Inh CUX2 MSR1",0.402716945437758,3.38840673608941,4.43007245501487,0.0371198811747746,0.366465857863895,0.366465857863895,"four_group_var"
"7","C1orf159","Inh CUX2 MSR1",0.100454689923071,5.62340475115933,1.56675244652899,0.212792226117736,0.691447161605591,0.691447161605591,"four_group_var"
"8","SDF4","Inh CUX2 MSR1",0.11715526634605,5.39780517782958,1.77884692862138,0.184483367948156,0.662517911530722,0.662517911530722,"four_group_var"
"9","UBE2J2","Inh CUX2 MSR1",0.0758335204789832,5.12586838037158,0.963456543034989,0.328031548691152,0.777096408635822,0.777096408635822,"four_group_var"
"10","SCNN1D","Inh CUX2 MSR1",0.0341562451971319,3.84275191482843,0.0584846474832202,0.809265474305134,0.980033947178798,0.980033947178798,"four_group_var"
"11","ACAP3","Inh CUX2 MSR1",0.0526295402339878,6.37778030485677,0.69490206456131,0.40593943593893,0.823377165434083,0.823377165434083,"four_group_var"
"12","INTS11","Inh CUX2 MSR1",0.0457398099454676,5.424900544737,0.356528497833468,0.551416872408003,0.889569764708106,0.889569764708106,"four_group_var"
"13","CPTP","Inh CUX2 MSR1",0.261061560767438,3.22028468576922,1.52509976310284,0.218943377400623,0.694692875659102,0.694692875659102,"four_group_var"
"14","DVL1","Inh CUX2 MSR1",-0.0428589527549265,4.38062311684628,0.129298979141315,0.719708465055729,0.954892991396793,0.954892991396793,"four_group_var"
"15","AURKAIP1","Inh CUX2 MSR1",-0.16553012013912,4.08882270336901,1.58134523042066,0.21068636366011,0.689357133134799,0.689357133134799,"four_group_var"
"16","CCNL2","Inh CUX2 MSR1",-0.049410931796645,6.10554191757624,0.61050008885884,0.435935097398196,0.837836125596918,0.837836125596918,"four_group_var"
"17","MRPL20","Inh CUX2 MSR1",-0.0147586374827259,4.74412677918338,0.0203584095794463,0.886748290179008,0.995778644807982,0.995778644807982,"four_group_var"
"18","ATAD3B","Inh CUX2 MSR1",0.0597309251814935,4.66323229580528,0.314765485614207,0.575678410600956,0.901224628561149,0.901224628561149,"four_group_var"
"19","ATAD3A","Inh CUX2 MSR1",0.199368354687815,4.09600207012414,1.99151109605966,0.160428652884772,0.631568588805667,0.631568588805667,"four_group_var"
"20","SSU72","Inh CUX2 MSR1",-0.192341860799127,5.33299271484532,5.98807999800627,0.0156570419593364,0.251593473020368,0.251593473020368,"four_group_var"
"21","FNDC10","Inh CUX2 MSR1",0.10680499676221,3.98828674874628,0.501945475652913,0.479839013994449,0.866338718451189,0.866338718451189,"four_group_var"
"22","AL691432.2","Inh CUX2 MSR1",-0.14454570226403,3.32450224012079,0.643996464034822,0.50807271233952,0.878051658518895,0.878051658518895,"four_group_var"
"23","MIB2","Inh CUX2 MSR1",0.00813776719645804,5.25404387302647,0.00953802688145049,0.952812866574123,0.999974196572338,0.999974196572338,"four_group_var"
"24","CDK11B","Inh CUX2 MSR1",-0.158718561741538,4.933529931917,3.21287871796904,0.0804795356966867,0.497660106646939,0.497660106646939,"four_group_var"
"25","SLC35E2B","Inh CUX2 MSR1",0.0937238873670501,4.98345078251908,0.895614062718377,0.345611057786812,0.789445937357288,0.789445937357288,"four_group_var"
"26","CDK11A","Inh CUX2 MSR1",-0.172459547882394,4.36993067082369,1.49778981260756,0.223092690236941,0.695950414242054,0.695950414242054,"four_group_var"
"27","SLC35E2A","Inh CUX2 MSR1",-0.0624556059900538,4.92238447936914,0.295657633812592,0.587493054631298,0.907162384442864,0.907162384442864,"four_group_var"
"28","NADK","Inh CUX2 MSR1",-0.174779349372652,4.02991942929146,1.95463008989494,0.201970839445322,0.683726306102946,0.683726306102946,"four_group_var"
"29","GNB1","Inh CUX2 MSR1",-0.0374696073577933,7.47953081060741,1.01744982656963,0.314886238676758,0.768776312445057,0.768776312445057,"four_group_var"
"30","CFAP74","Inh CUX2 MSR1",0.300261746813435,3.91030614079188,4.43247846721796,0.0370692794988367,0.366465857863895,0.366465857863895,"four_group_var"
"31","GABRD","Inh CUX2 MSR1",0.0853692227186922,5.48826732992601,0.972813332247594,0.325701976553007,0.775642174579154,0.775642174579154,"four_group_var"
"32","PRKCZ","Inh CUX2 MSR1",0.0602663580236387,6.73478515220606,1.49654951502107,0.223283375956535,0.695998347306835,0.695998347306835,"four_group_var"
"33","FAAP20","Inh CUX2 MSR1",0.0589957937777046,4.69134903501553,0.378709071277927,0.811200313161226,0.980033947178798,0.980033947178798,"four_group_var"
"34","SKI","Inh CUX2 MSR1",-0.0319560876426679,6.68447494061469,0.367730375095922,0.545238129452462,0.887349564557442,0.887349564557442,"four_group_var"
"35","MORN1","Inh CUX2 MSR1",-0.0245228492579093,4.88294839469446,0.0665319704582673,0.796838253102269,0.980033947178798,0.980033947178798,"four_group_var"
"36","RER1","Inh CUX2 MSR1",-0.12107005015777,4.85185836101837,1.57008951768892,0.212308444900792,0.690547539469178,0.690547539469178,"four_group_var"
"37","PEX10","Inh CUX2 MSR1",0.12546128758313,3.56324504299006,0.625036628275075,0.4448577561094,0.841781622152749,0.841781622152749,"four_group_var"
"38","PLCH2","Inh CUX2 MSR1",0.119280677574558,5.5312376712295,2.20940727690764,0.139447563810159,0.60926026926742,0.60926026926742,"four_group_var"
"39","PANK4","Inh CUX2 MSR1",-0.157437446359934,3.79078381722154,1.09906585977761,0.296299864251968,0.749385904939299,0.749385904939299,"four_group_var"
"40","TPRG1L","Inh CUX2 MSR1",-0.0215909183687382,4.28672747351232,0.0333964643844166,0.856297411770892,0.990276436241358,0.990276436241358,"four_group_var"
"41","WRAP73","Inh CUX2 MSR1",-0.273437877307242,3.76592117609141,2.67026540775402,0.104513358022046,0.545521579020232,0.545521579020232,"four_group_var"
"42","LRRC47","Inh CUX2 MSR1",-0.0732225745764296,4.32707471586085,0.41668006683943,0.519667821491632,0.881466184109217,0.881466184109217,"four_group_var"
"43","CEP104","Inh CUX2 MSR1",-0.0507192021558826,5.89365186544005,0.5956122655299,0.818977717799816,0.981209317852648,0.981209317852648,"four_group_var"
"44","DFFB","Inh CUX2 MSR1",-0.0345944036030165,5.18549194314388,0.145733996525424,0.703231821616617,0.949491706316335,0.949491706316335,"four_group_var"
"45","AJAP1","Inh CUX2 MSR1",0.0319430568979392,7.50319252558384,0.461125668730717,0.49823322757082,0.872652801238921,0.872652801238921,"four_group_var"
"46","AL365255.1","Inh CUX2 MSR1",0.0274525072011806,3.76966685568809,0.0221340170702744,0.881947852215523,0.994658219762752,0.994658219762752,"four_group_var"
"47","NPHP4","Inh CUX2 MSR1",-0.0208710641416073,5.84931003423046,0.0890565774311527,0.846985863971062,0.988089406526723,0.988089406526723,"four_group_var"
"48","KCNAB2","Inh CUX2 MSR1",0.0672090863218599,6.87085636396222,1.70267896675299,0.19410504948136,0.673272502698308,0.673272502698308,"four_group_var"
"49","CHD5","Inh CUX2 MSR1",-0.00566419046626543,7.69964889959111,0.0195970359350014,0.888872026878333,0.996066973506627,0.996066973506627,"four_group_var"
"50","RPL22","Inh CUX2 MSR1",0.030187049083923,5.11312768743246,0.115252361009181,0.734756843234283,0.961463565989815,0.961463565989815,"four_group_var"
"51","RNF207","Inh CUX2 MSR1",-0.150765944992376,4.51052681583101,1.77538101825128,0.184908844112093,0.663053877001353,0.663053877001353,"four_group_var"
"52","ICMT","Inh CUX2 MSR1",0.0325743977990251,3.80334017416001,0.0433812993919574,0.835315387514353,0.983747753118868,0.983747753118868,"four_group_var"
"53","GPR153","Inh CUX2 MSR1",0.119739340183588,3.75106852025116,0.5970305949184,0.44103176077901,0.840487046368497,0.840487046368497,"four_group_var"
"54","ACOT7","Inh CUX2 MSR1",0.125178905248092,6.25125808728474,4.13916505086354,0.0438130896530882,0.394791265036971,0.394791265036971,"four_group_var"
"55","TNFRSF25","Inh CUX2 MSR1",0.00789306528703594,4.00131338241918,0.00167097616300965,0.967452449134928,0.999974196572338,0.999974196572338,"four_group_var"
"56","NOL9","Inh CUX2 MSR1",-0.0277083143936783,5.26900701886903,0.109719402680725,0.813084750226778,0.980429326023998,0.980429326023998,"four_group_var"
"57","ZBTB48","Inh CUX2 MSR1",0.100982965883566,3.88752398155987,0.525138107546184,0.469882338984397,0.859376506595388,0.859376506595388,"four_group_var"
"58","KLHL21","Inh CUX2 MSR1",-0.134219792654271,4.54789333286376,1.75765382332943,0.196351100336473,0.677320047517444,0.677320047517444,"four_group_var"
"59","THAP3","Inh CUX2 MSR1",-0.283336770273491,3.74129748797884,3.2754443238886,0.0724952970686664,0.482253196860169,0.482253196860169,"four_group_var"
"60","DNAJC11","Inh CUX2 MSR1",0.097398247995571,6.04208290911334,2.21373727763724,0.164446540561839,0.635281717637325,0.635281717637325,"four_group_var"
"61","CAMTA1","Inh CUX2 MSR1",0.125958278979341,9.45414258310834,20.6536569886847,1.18894447350578e-05,0.00368233088365791,0.00368233088365791,"four_group_var"
"62","VAMP3","Inh CUX2 MSR1",0.0939562873321809,3.91991238747127,0.507619672618569,0.527339339689043,0.882971646930681,0.882971646930681,"four_group_var"
"63","PER3","Inh CUX2 MSR1",0.0906462440329393,7.12242885498931,2.4792022389591,0.117645636922797,0.569829626560823,0.569829626560823,"four_group_var"
"64","PARK7","Inh CUX2 MSR1",-0.0862314134370102,5.03044863223436,0.808194497323891,0.370217170101477,0.802328370212544,0.802328370212544,"four_group_var"
"65","ERRFI1","Inh CUX2 MSR1",0.162461824623109,4.60480386715845,2.44126523526111,0.120466286109257,0.574655733152061,0.574655733152061,"four_group_var"
"66","AL034417.2","Inh CUX2 MSR1",-0.250902042990916,3.52118404979946,1.64554045692652,0.201712720564047,0.683726306102946,0.683726306102946,"four_group_var"
"67","SLC45A1","Inh CUX2 MSR1",0.0765934491123008,4.31046935286166,0.378457639302201,0.539440811403269,0.886796844951689,0.886796844951689,"four_group_var"
"68","RERE","Inh CUX2 MSR1",0.00476940914807239,9.25146052860417,0.0312789466840838,0.944956502054829,0.999974196572338,0.999974196572338,"four_group_var"
"69","ENO1","Inh CUX2 MSR1",0.0498323906985665,5.49389555014284,0.393469707839963,0.531515436393389,0.884076541733715,0.884076541733715,"four_group_var"
"70","MIR34AHG","Inh CUX2 MSR1",0.209975021956306,5.17094829281452,6.05989572951614,0.0150589455688322,0.247711589165736,0.247711589165736,"four_group_var"
"71","H6PD","Inh CUX2 MSR1",-0.110673671792408,4.4226240682596,0.919538796257856,0.370309203940695,0.802328370212544,0.802328370212544,"four_group_var"
"72","SLC25A33","Inh CUX2 MSR1",0.0233654879519981,4.63811019394847,0.0437237951705835,0.834676020674099,0.983747753118868,0.983747753118868,"four_group_var"
"73","TMEM201","Inh CUX2 MSR1",0.036194075737505,4.16117130110795,0.0720939367362369,0.788712162628148,0.979477649330381,0.979477649330381,"four_group_var"
"74","PIK3CD","Inh CUX2 MSR1",-0.0457970527928552,5.47917575491469,0.293958448399822,0.588567503238663,0.907671566028614,0.907671566028614,"four_group_var"
"75","CLSTN1","Inh CUX2 MSR1",-0.0677701172455322,8.24163043675394,3.53737233106817,0.062103058742365,0.454859046070326,0.454859046070326,"four_group_var"
"76","CTNNBIP1","Inh CUX2 MSR1",0.0241474476604209,4.89218783310067,0.0611309244524791,0.80508398553525,0.980033947178798,0.980033947178798,"four_group_var"
"77","LZIC","Inh CUX2 MSR1",0.0424907442073268,4.69353401990027,0.167932129170025,0.682590225514489,0.9442114425384,0.9442114425384,"four_group_var"
"78","NMNAT1","Inh CUX2 MSR1",0.267174945406771,4.69910445083699,7.09285548688418,0.00865774238042627,0.190554956148819,0.190554956148819,"four_group_var"
"79","UBE4B","Inh CUX2 MSR1",0.0970411175942657,7.36399912253967,5.37570760298849,0.0218852062682356,0.288257151819775,0.288257151819775,"four_group_var"
"80","KIF1B","Inh CUX2 MSR1",-0.00673271050448986,8.58300392656782,0.0427233326293362,0.868797026676389,0.99154244706748,0.99154244706748,"four_group_var"
"81","PGD","Inh CUX2 MSR1",0.0804498427237589,4.65633042880367,0.605992872809135,0.437630419918035,0.838026873549484,0.838026873549484,"four_group_var"
"82","DFFA","Inh CUX2 MSR1",0.252826366045361,5.21602980609032,9.27951637665118,0.00277587880923598,0.0997102854776359,0.0997102854776359,"four_group_var"
"83","PEX14","Inh CUX2 MSR1",0.0236481483890588,6.20210415443363,0.165607014984084,0.684675006360655,0.9442114425384,0.9442114425384,"four_group_var"
"84","SRM","Inh CUX2 MSR1",0.0442406865366621,4.81892822007705,0.197824502490779,0.657177909075641,0.935576617533488,0.935576617533488,"four_group_var"
"85","EXOSC10","Inh CUX2 MSR1",0.0777355473991207,5.30542740738789,0.873184275970846,0.351703965115681,0.79146043728349,0.79146043728349,"four_group_var"
"86","MTOR","Inh CUX2 MSR1",0.0429697413006247,6.00630320910446,0.436853285734471,0.839874857791946,0.986054744770356,0.986054744770356,"four_group_var"
"87","FBXO2","Inh CUX2 MSR1",-0.0412966205756831,4.7905932836513,0.161993058262708,0.687949571457856,0.944966023160723,0.944966023160723,"four_group_var"
"88","FBXO44","Inh CUX2 MSR1",0.12124115189391,5.8502109939691,2.73243083128431,0.100597874809927,0.538733449230136,0.538733449230136,"four_group_var"
"89","MTHFR","Inh CUX2 MSR1",-0.126043876494811,4.98645573602294,1.73823000717912,0.189542559547926,0.670137425146614,0.670137425146614,"four_group_var"
"90","CLCN6","Inh CUX2 MSR1",0.00535696422899222,4.50290501813267,0.00208325900315329,0.963660849483397,0.999974196572338,0.999974196572338,"four_group_var"
"91","KIAA2013","Inh CUX2 MSR1",-0.115415180119497,4.14383035585984,0.726488693712162,0.395497349647539,0.817730380623225,0.817730380623225,"four_group_var"
"92","PLOD1","Inh CUX2 MSR1",-0.0857125108450301,4.04624694065371,0.460669681912624,0.498445374289403,0.872883337204706,0.872883337204706,"four_group_var"
"93","MFN2","Inh CUX2 MSR1",-0.0718476306026938,5.27002055032867,0.66499666328229,0.416203664332002,0.830238798508619,0.830238798508619,"four_group_var"
"94","VPS13D","Inh CUX2 MSR1",0.121034336197453,7.79744977918018,10.2646094846288,0.00168359061044584,0.0763603440051584,0.0763603440051584,"four_group_var"
"95","LRRC38","Inh CUX2 MSR1",0.422726173720313,3.83681797878703,5.45248006990188,0.0209793904974297,0.285125283465318,0.285125283465318,"four_group_var"
"96","PRDM2","Inh CUX2 MSR1",0.0511935665075736,7.46351113176673,1.34158608965071,0.248750722966572,0.720243610796353,0.720243610796353,"four_group_var"
"97","KAZN","Inh CUX2 MSR1",0.114262542574081,12.1442447462085,16.2198342886124,9.25830629820627e-05,0.0126735156830716,0.0126735156830716,"four_group_var"
"98","TMEM51","Inh CUX2 MSR1",0.246941177724642,3.75885746058265,1.72511008270254,0.191211463984922,0.671739071430918,0.671739071430918,"four_group_var"
"99","EFHD2","Inh CUX2 MSR1",-0.0835684056995575,4.89680381923535,0.924818596916404,0.455065049736128,0.850306820800222,0.850306820800222,"four_group_var"
"100","CASP9","Inh CUX2 MSR1",-0.0322246938543355,4.31968683961775,0.0925735076850492,0.761387950074249,0.970862324385849,0.970862324385849,"four_group_var"
"101","DNAJC16","Inh CUX2 MSR1",-0.0799737402292334,5.5421105407766,1.06874804269277,0.30303279774042,0.757111282477974,0.757111282477974,"four_group_var"
"102","DDI2","Inh CUX2 MSR1",-0.085935053577415,5.42336300511994,1.36906735293613,0.268934487965951,0.734319861347835,0.734319861347835,"four_group_var"
"103","PLEKHM2","Inh CUX2 MSR1",0.0371695068379847,5.85740828960528,0.360692150597717,0.651774759964715,0.933318350340002,0.933318350340002,"four_group_var"
"104","SLC25A34","Inh CUX2 MSR1",-0.167929457188929,3.48481906502483,0.780717822435165,0.378455104755484,0.806141351061003,0.806141351061003,"four_group_var"
"105","UQCRHL","Inh CUX2 MSR1",0.0873681542211995,3.44488444041939,0.236112860448259,0.627796821550521,0.925580252893439,0.925580252893439,"four_group_var"
"106","SPEN","Inh CUX2 MSR1",0.0337544493356206,6.67908520494353,0.435328700793827,0.510483043211402,0.878476913265458,0.878476913265458,"four_group_var"
"107","ZBTB17","Inh CUX2 MSR1",0.206041725756222,3.99220047882816,2.07305994016358,0.152180249664232,0.621172621818406,0.621172621818406,"four_group_var"
"108","FAM131C","Inh CUX2 MSR1",0.239219072264931,3.61828459960505,1.99748725828352,0.159807047242733,0.630618271609476,0.630618271609476,"four_group_var"
"109","FBXO42","Inh CUX2 MSR1",0.0139942031344643,6.90514487459123,0.0755344846348252,0.98306576014987,0.999974196572338,0.999974196572338,"four_group_var"
"110","SZRD1","Inh CUX2 MSR1",0.0207888536829686,4.20842518305185,0.0289100904359427,0.865235275403817,0.99154244706748,0.99154244706748,"four_group_var"
"111","NECAP2","Inh CUX2 MSR1",-0.0312155872870726,3.95197061116884,0.0489113775193863,0.825294696419033,0.982558430442868,0.982558430442868,"four_group_var"
"112","NBPF1","Inh CUX2 MSR1",-0.0237324006606853,5.95247983270618,0.0959522103527476,0.757208555607575,0.96989306435991,0.96989306435991,"four_group_var"
"113","CROCC","Inh CUX2 MSR1",0.0190836430477895,6.47915711252069,0.078477492946455,0.77978995457353,0.976525416462643,0.976525416462643,"four_group_var"
"114","ATP13A2","Inh CUX2 MSR1",0.0485168533495891,6.5746283716108,0.664409644010528,0.416408983565311,0.830238798508619,0.830238798508619,"four_group_var"
"115","SDHB","Inh CUX2 MSR1",-0.013821357997414,5.57345589244208,0.0366276856596547,0.848505754595809,0.988368267419989,0.988368267419989,"four_group_var"
"116","ARHGEF10L","Inh CUX2 MSR1",0.11360101414276,5.61114908358143,2.56500242759597,0.111534123410828,0.556777814382607,0.556777814382607,"four_group_var"
"117","IGSF21","Inh CUX2 MSR1",-0.057577195716225,3.45582985285637,0.0827281235884872,0.774064380173841,0.97353032614972,0.97353032614972,"four_group_var"
"118","IFFO2","Inh CUX2 MSR1",0.262451032366423,4.08718083951331,4.26544168441968,0.0407624511089946,0.385571527069373,0.385571527069373,"four_group_var"
"119","UBR4","Inh CUX2 MSR1",0.0504870736582687,6.47826487126628,0.770079451083074,0.487815911632001,0.86844228420326,0.86844228420326,"four_group_var"
"120","AL035413.1","Inh CUX2 MSR1",-0.0751960954349039,4.31011532645975,0.431718867369966,0.512238685731777,0.878552070741486,0.878552070741486,"four_group_var"
"121","EMC1","Inh CUX2 MSR1",0.0217990793771144,4.50139478885731,0.0473143277639783,0.943040393943218,0.999974196572338,0.999974196572338,"four_group_var"
"122","MRTO4","Inh CUX2 MSR1",-0.376675986494442,4.00315335483227,5.49056902815056,0.0205446518281794,0.281513850349272,0.281513850349272,"four_group_var"
"123","AKR7A2","Inh CUX2 MSR1",-0.00942499379437481,3.92050392289922,0.00354800873716275,0.952587950368519,0.999974196572338,0.999974196572338,"four_group_var"
"124","PQLC2","Inh CUX2 MSR1",-0.105980240962535,3.66678746191108,0.402678676259639,0.526757453412372,0.882918856751405,0.882918856751405,"four_group_var"
"125","CAPZB","Inh CUX2 MSR1",-0.0368375015071247,7.33308868903841,0.733295296606603,0.393298437872431,0.816296262968461,0.816296262968461,"four_group_var"
"126","NBL1","Inh CUX2 MSR1",-0.0403267996319948,4.97932359319449,0.174396017605333,0.676881739918573,0.941981738329861,0.941981738329861,"four_group_var"
"127","TMCO4","Inh CUX2 MSR1",0.328767412529971,4.01116844449638,3.70733031772176,0.0562264532191524,0.435042650175312,0.435042650175312,"four_group_var"
"128","OTUD3","Inh CUX2 MSR1",0.0255788568567192,5.41310069040497,0.0754360758089468,0.783990181621895,0.977476190313804,0.977476190313804,"four_group_var"
"129","CAMK2N1","Inh CUX2 MSR1",-0.0680891569825327,7.47576038197795,2.01907961688785,0.157584092861161,0.626990619961381,0.626990619961381,"four_group_var"
"130","FAM43B","Inh CUX2 MSR1",0.0312366893520142,3.92439201426331,0.0454830887080882,0.831432274145574,0.983105808112688,0.983105808112688,"four_group_var"
"131","PINK1","Inh CUX2 MSR1",-0.21240226134963,5.08156374372119,5.89802260502117,0.0164422679485694,0.256083598509327,0.256083598509327,"four_group_var"
"132","DDOST","Inh CUX2 MSR1",-0.0957062673624834,4.03138565746042,0.484901328486598,0.487379252415172,0.86844228420326,0.86844228420326,"four_group_var"
"133","KIF17","Inh CUX2 MSR1",-0.166172477494846,4.04198622198663,1.43835496489596,0.232456483167745,0.705651455581015,0.705651455581015,"four_group_var"
"134","SH2D5","Inh CUX2 MSR1",-0.103188213679206,3.80400928776981,0.414524736314861,0.520748103601054,0.881466184109217,0.881466184109217,"four_group_var"
"135","HP1BP3","Inh CUX2 MSR1",0.0535956395567111,7.0876181080797,1.5716575454167,0.212081579926009,0.690429881440704,0.690429881440704,"four_group_var"
"136","EIF4G3","Inh CUX2 MSR1",0.073326541899942,8.97355201759714,6.02645457868316,0.0153344296178029,0.249960556845994,0.249960556845994,"four_group_var"
"137","ECE1","Inh CUX2 MSR1",0.00502432994238104,4.2290909737002,0.00129388477551435,0.971357661369897,0.999974196572338,0.999974196572338,"four_group_var"
"138","NBPF3","Inh CUX2 MSR1",0.0158894983045694,4.60340248258919,0.0235270019938675,0.966280503743934,0.999974196572338,0.999974196572338,"four_group_var"
"139","RAP1GAP","Inh CUX2 MSR1",0.0256015362185633,6.42689414711905,0.187807431537514,0.665422958479248,0.936937520057775,0.936937520057775,"four_group_var"
"140","USP48","Inh CUX2 MSR1",-0.0111429690541962,6.98157168176318,0.0509456249528931,0.821759125445498,0.9817450521826,0.9817450521826,"four_group_var"
"141","CDC42","Inh CUX2 MSR1",-0.0230691016211524,6.18069705927346,0.187082790113688,0.666029473532437,0.937022646734798,0.937022646734798,"four_group_var"
"142","ZBTB40","Inh CUX2 MSR1",0.0164245154717591,5.16118756310988,0.0311455977788793,0.860174128687689,0.990655628962983,0.990655628962983,"four_group_var"
"143","EPHB2","Inh CUX2 MSR1",0.219598328485402,5.84744843109651,9.89255763001299,0.00203191493563339,0.0850423085029572,0.0850423085029572,"four_group_var"
"144","KDM1A","Inh CUX2 MSR1",-0.0536064379549967,6.30873255884056,0.896106799460285,0.34547883344033,0.789445937357288,0.789445937357288,"four_group_var"
"145","AL031428.1","Inh CUX2 MSR1",-0.0918359703908805,4.20670266899229,0.548199954200922,0.460309281944165,0.854478859470334,0.854478859470334,"four_group_var"
"146","LUZP1","Inh CUX2 MSR1",0.0965241893631364,7.30793720026414,4.61083886470587,0.0335141579700355,0.353144048719647,0.353144048719647,"four_group_var"
"147","LINC01355","Inh CUX2 MSR1",0.0692406914516673,4.02030770504454,0.238692369381683,0.62592596015664,0.925181455462004,0.925181455462004,"four_group_var"
"148","HNRNPR","Inh CUX2 MSR1",-0.038243868978213,6.01411506138194,0.348135733130283,0.556133163636838,0.891699969523039,0.891699969523039,"four_group_var"
"149","ZNF436","Inh CUX2 MSR1",-0.18522874306615,3.15932462057717,0.880153037771842,0.349795312198119,0.791433355334311,0.791433355334311,"four_group_var"
"150","ZNF436-AS1","Inh CUX2 MSR1",0.0109449368623397,4.2173427901423,0.00622187314966128,0.937243002392904,0.999974196572338,0.999974196572338,"four_group_var"
"151","TCEA3","Inh CUX2 MSR1",-0.0578257433280174,3.77017344383084,0.121141264632575,0.728329190008081,0.958011732994966,0.958011732994966,"four_group_var"
"152","ASAP3","Inh CUX2 MSR1",0.347438935013023,3.34278633403637,3.41545889479044,0.0667245071550722,0.468454441425507,0.468454441425507,"four_group_var"
"153","RPL11","Inh CUX2 MSR1",-0.247671695627723,5.24552382081488,7.77889625867303,0.0060316913248588,0.153123030354729,0.153123030354729,"four_group_var"
"154","ELOA","Inh CUX2 MSR1",0.0836423037468173,4.75814624325073,0.701093859883037,0.403861003404374,0.822260228344014,0.822260228344014,"four_group_var"
"155","ELOA-AS1","Inh CUX2 MSR1",0.164467872466949,5.08991062751669,3.25474867752998,0.0733931928055579,0.483930784678982,0.483930784678982,"four_group_var"
"156","PITHD1","Inh CUX2 MSR1",-0.023443598220787,5.43731735156207,0.0859635620019181,0.769812263521908,0.972732833402183,0.972732833402183,"four_group_var"
"157","LYPLA2","Inh CUX2 MSR1",0.155546565455936,3.58568559222516,0.932637341722306,0.335864264590658,0.782517983263952,0.782517983263952,"four_group_var"
"158","GALE","Inh CUX2 MSR1",0.175331692453487,4.01354050255896,1.6334524310153,0.203367155970243,0.683726306102946,0.683726306102946,"four_group_var"
"159","HMGCL","Inh CUX2 MSR1",0.127569865100789,3.9319106777536,0.65702449306196,0.419005033876723,0.83171847046762,0.83171847046762,"four_group_var"
"160","FUCA1","Inh CUX2 MSR1",-0.0898161194437485,3.68735014887067,0.352931606143719,0.86969013053819,0.99154244706748,0.99154244706748,"four_group_var"
"161","PNRC2","Inh CUX2 MSR1",-0.174330261966365,3.68415531377596,1.15797230703705,0.28376011267458,0.741054321708053,0.741054321708053,"four_group_var"
"162","SRSF10","Inh CUX2 MSR1",-0.140529263598489,6.07086556312507,4.45035390022626,0.0366956161690052,0.366465857863895,0.366465857863895,"four_group_var"
"163","NIPAL3","Inh CUX2 MSR1",-0.180593156287479,4.86985394478849,2.6465744991253,0.106049656226761,0.548990016239207,0.548990016239207,"four_group_var"
"164","SRRM1","Inh CUX2 MSR1",0.0598684638498269,6.3460526507,0.880305938068363,0.349753594151082,0.791433355334311,0.791433355334311,"four_group_var"
"165","SYF2","Inh CUX2 MSR1",0.100463447699831,4.30848261051846,0.60361065121254,0.438530557098879,0.83838998923313,0.83838998923313,"four_group_var"
"166","RSRP1","Inh CUX2 MSR1",0.01623940334321,7.15984591657842,0.0869488308242486,0.768534707412097,0.97232915830382,0.97232915830382,"four_group_var"
"167","TMEM50A","Inh CUX2 MSR1",-0.168465744953666,5.07788562505549,3.45946387122905,0.0650149535208045,0.463918017140993,0.463918017140993,"four_group_var"
"168","MACO1","Inh CUX2 MSR1",-0.011720659510963,6.90849302927944,0.0610866638311337,0.822485249463318,0.981896206825004,0.981896206825004,"four_group_var"
"169","MAN1C1","Inh CUX2 MSR1",-0.00243556126609747,6.75091595746975,0.0018419796620118,0.965828571191301,0.999974196572338,0.999974196572338,"four_group_var"
"170","MTFR1L","Inh CUX2 MSR1",-0.00119214114526176,5.08658411178087,0.000263758271958572,0.98706582263527,0.999974196572338,0.999974196572338,"four_group_var"
