"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh GPC5 RIT2",0.237437985058136,5.87583406690486,1.55745444770339,0.215949727647534,0.917042721609915,0.917042721609915,"four_group_var"
"2","C1orf159","Inh GPC5 RIT2",-0.170773610397194,5.65907022502909,0.552996945052573,0.459436523917942,0.97200394925245,0.97200394925245,"four_group_var"
"3","SDF4","Inh GPC5 RIT2",-0.185056301598705,5.7802401839793,0.867222379632178,0.354735896042525,0.957947186930761,0.957947186930761,"four_group_var"
"4","UBE2J2","Inh GPC5 RIT2",-0.261780519920478,5.39679272384848,1.38239136145828,0.243440979681295,0.924560510897732,0.924560510897732,"four_group_var"
"5","ACAP3","Inh GPC5 RIT2",-0.128315110308302,6.21703434103609,0.614532048743801,0.435573867800562,0.966430307280074,0.966430307280074,"four_group_var"
"6","INTS11","Inh GPC5 RIT2",-0.170097660598522,5.81637897612848,0.972171082612202,0.353387930787435,0.957947186930761,0.957947186930761,"four_group_var"
"7","AURKAIP1","Inh GPC5 RIT2",0.128942583655726,4.91790270899186,0.167500176672927,0.683518338596871,0.993410157112695,0.993410157112695,"four_group_var"
"8","CCNL2","Inh GPC5 RIT2",0.120921471264217,6.09657117220684,0.638624739825697,0.469315035689572,0.975204148230585,0.975204148230585,"four_group_var"
"9","MRPL20","Inh GPC5 RIT2",0.145429604730187,5.04514660409296,0.251545552600639,0.617469029495028,0.99166188558981,0.99166188558981,"four_group_var"
"10","ATAD3B","Inh GPC5 RIT2",-0.498035443532706,5.22766947838139,4.44916656242705,0.0382810950231644,0.778345702820558,0.778345702820558,"four_group_var"
"11","SSU72","Inh GPC5 RIT2",0.0723521903053508,5.60586406414596,0.11846474893152,0.731676016838381,0.993410157112695,0.993410157112695,"four_group_var"
"12","CDK11B","Inh GPC5 RIT2",0.172768103287153,5.3212651934928,0.528586162388409,0.469482220436259,0.975204148230585,0.975204148230585,"four_group_var"
"13","SLC35E2B","Inh GPC5 RIT2",0.221826810156504,5.40751317937025,0.88862506731043,0.348899603135974,0.957947186930761,0.957947186930761,"four_group_var"
"14","SLC35E2A","Inh GPC5 RIT2",-0.0670662034527844,5.31063510863256,0.0845214888226879,0.772069501272373,0.9949748349985,0.9949748349985,"four_group_var"
"15","GNB1","Inh GPC5 RIT2",0.0971545170255756,7.43619461105091,0.97796326280845,0.325905810654955,0.957713438262061,0.957713438262061,"four_group_var"
"16","GABRD","Inh GPC5 RIT2",-0.0600382411577202,6.09520084344818,0.111131730011322,0.739796523744416,0.993410157112695,0.993410157112695,"four_group_var"
"17","PRKCZ","Inh GPC5 RIT2",0.119466628769129,6.7110600820514,0.831411963323899,0.3648080772663,0.957947186930761,0.957947186930761,"four_group_var"
"18","FAAP20","Inh GPC5 RIT2",-0.0442571223581127,5.05375145327054,0.0206779350657687,0.886048369427766,1,1,"four_group_var"
"19","SKI","Inh GPC5 RIT2",-0.118077478040127,6.21445701208096,0.529564150113557,0.469072952651597,0.975204148230585,0.975204148230585,"four_group_var"
"20","MORN1","Inh GPC5 RIT2",-0.280481483132941,5.22996849899238,1.31752967964224,0.254711434118458,0.927032521753715,0.927032521753715,"four_group_var"
"21","PLCH2","Inh GPC5 RIT2",0.0452933194691251,5.78297404859525,0.0518777429760183,0.820451946452712,1,1,"four_group_var"
"22","CEP104","Inh GPC5 RIT2",0.147817504936892,5.82442522189812,0.562232866315537,0.455725307727174,0.97200394925245,0.97200394925245,"four_group_var"
"23","DFFB","Inh GPC5 RIT2",-0.382135136422008,5.18840894585077,2.35849717353481,0.128841957002487,0.863196818743611,0.863196818743611,"four_group_var"
"24","AJAP1","Inh GPC5 RIT2",-0.137307364748348,5.7597967016952,0.389529337048027,0.534455015572321,0.984438242076404,0.984438242076404,"four_group_var"
"25","NPHP4","Inh GPC5 RIT2",0.0481743998439509,5.96437278552948,0.0653329979407621,0.798962209316767,0.997278739650033,0.997278739650033,"four_group_var"
"26","KCNAB2","Inh GPC5 RIT2",0.208895802731847,7.12644577301375,2.60355795606903,0.110855692070648,0.863196818743611,0.863196818743611,"four_group_var"
"27","CHD5","Inh GPC5 RIT2",0.0421442504282691,7.30982431316106,0.129010645860879,0.720476899047772,0.993410157112695,0.993410157112695,"four_group_var"
"28","RPL22","Inh GPC5 RIT2",-0.0432734591120499,5.47825925788945,0.033057586309885,0.856220187952687,1,1,"four_group_var"
"29","RNF207","Inh GPC5 RIT2",-0.218779038690603,5.05354897543164,0.643559103312581,0.424978656804034,0.963815770281687,0.963815770281687,"four_group_var"
"30","ACOT7","Inh GPC5 RIT2",0.0942584637284703,6.52087997242557,0.516058196421545,0.545212285660688,0.984438242076404,0.984438242076404,"four_group_var"
"31","NOL9","Inh GPC5 RIT2",0.131123815292692,5.50030421288999,0.368982041527685,0.545408275349138,0.984438242076404,0.984438242076404,"four_group_var"
"32","KLHL21","Inh GPC5 RIT2",0.497467486630392,5.13297479838849,2.89274101141747,0.0931537406943555,0.843553115396088,0.843553115396088,"four_group_var"
"33","DNAJC11","Inh GPC5 RIT2",-0.25888228153595,6.54098156711224,2.70562329237509,0.104211739555844,0.850502875713727,0.850502875713727,"four_group_var"
"34","CAMTA1","Inh GPC5 RIT2",0.106908167474815,9.91792377551029,2.5310093758775,0.115867015562765,0.863196818743611,0.863196818743611,"four_group_var"
"35","PER3","Inh GPC5 RIT2",0.0854885326885228,7.03170619247993,0.496766943394333,0.5102010514934,0.983192462104387,0.983192462104387,"four_group_var"
"36","PARK7","Inh GPC5 RIT2",0.445636670908388,5.35913584744458,3.33286689881848,0.0719192575625121,0.819868413122779,0.819868413122779,"four_group_var"
"37","RERE","Inh GPC5 RIT2",0.0311952694502435,9.12599664769066,0.231253326614776,0.632006510423087,0.99336967018165,0.99336967018165,"four_group_var"
"38","ENO1","Inh GPC5 RIT2",0.020054772966814,6.02548407392642,0.0135521654965214,0.907638125491957,1,1,"four_group_var"
