"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh PAX6",0.117944425763086,5.63674170657064,1.05413113708503,0.306441313643252,0.742725103416366,0.742725103416366,"four_group_var"
"2","HES4","Inh PAX6",-0.312636707377426,6.37011315901589,9.06441841801121,0.00312540628687898,0.110417180076042,0.110417180076042,"four_group_var"
"3","C1orf159","Inh PAX6",-0.211564859700338,5.9612228221364,3.89458552694041,0.050537366780838,0.407168810154318,0.407168810154318,"four_group_var"
"4","SDF4","Inh PAX6",-0.168469687100284,5.78507745684282,2.66955828603125,0.104674879782105,0.530042762652109,0.530042762652109,"four_group_var"
"5","UBE2J2","Inh PAX6",0.0175780460868562,5.63760329104578,0.0220501989400747,0.882180966312486,0.983623075257289,0.983623075257289,"four_group_var"
"6","ACAP3","Inh PAX6",0.0865894509260653,6.5289011067016,1.24801135224933,0.26596836228158,0.712388664513098,0.712388664513098,"four_group_var"
"7","INTS11","Inh PAX6",0.0551751011123413,5.99499771779686,0.335915336747856,0.563187539393933,0.879719265623184,0.879719265623184,"four_group_var"
"8","AURKAIP1","Inh PAX6",-0.195571039613391,4.95179254674041,1.33440676466738,0.250116210375459,0.704458536634647,0.704458536634647,"four_group_var"
"9","CCNL2","Inh PAX6",0.0462901617206746,6.27971754305767,0.302482148982505,0.58326287870161,0.891723472180192,0.891723472180192,"four_group_var"
"10","MRPL20","Inh PAX6",-0.0761409468187087,5.31481539582113,0.400983328661991,0.527680938739418,0.864632743481493,0.864632743481493,"four_group_var"
"11","SSU72","Inh PAX6",-0.0529932326645702,5.89078533263547,0.289507673146923,0.591445160444134,0.894429460916246,0.894429460916246,"four_group_var"
"12","MIB2","Inh PAX6",0.0860789465372168,5.60321073361663,0.527306447667378,0.469031221878301,0.837992554076553,0.837992554076553,"four_group_var"
"13","SLC35E2A","Inh PAX6",-0.100377840460628,5.32962209852326,0.495983822687304,0.482514698079483,0.84689732721977,0.84689732721977,"four_group_var"
"14","GNB1","Inh PAX6",0.0471745822779506,7.95740605644806,0.707590169348616,0.401771097789751,0.804699835674829,0.804699835674829,"four_group_var"
"15","PRKCZ","Inh PAX6",-0.0490129703553737,6.75542633348952,0.49430160121364,0.529506678772254,0.86598999157626,0.86598999157626,"four_group_var"
"16","SKI","Inh PAX6",0.0467273320762083,6.45343681668902,0.298968905707251,0.585455619755136,0.892514406282653,0.892514406282653,"four_group_var"
"17","RER1","Inh PAX6",-0.131604270690351,5.39432711307482,1.14429337697759,0.286705345248749,0.73004356311234,0.73004356311234,"four_group_var"
"18","PLCH2","Inh PAX6",0.261744716661958,5.22369377613306,3.45310573190296,0.0653676929695095,0.444725959332433,0.444725959332433,"four_group_var"
"19","CEP104","Inh PAX6",-0.00602244172080501,5.99601069356994,0.00364526020906534,0.951947787070177,0.999656300774805,0.999656300774805,"four_group_var"
"20","DFFB","Inh PAX6",-0.0610417850417458,5.37502195989613,0.226622567192464,0.634829008115089,0.90724237612017,0.90724237612017,"four_group_var"
"21","AJAP1","Inh PAX6",-0.114431661468224,7.17079560923554,3.39360318019682,0.0677010434261687,0.450519670799595,0.450519670799595,"four_group_var"
"22","AL365255.1","Inh PAX6",0.253514514203472,5.28042130107875,2.43615850430942,0.120968254429989,0.558297688411567,0.558297688411567,"four_group_var"
"23","NPHP4","Inh PAX6",0.0168435240296565,5.71357271651921,0.0236607568199535,0.877986909722848,0.983623075257289,0.983623075257289,"four_group_var"
"24","KCNAB2","Inh PAX6",0.0930152420489745,6.27655135429586,1.27187112715089,0.261468211183829,0.70949664961877,0.70949664961877,"four_group_var"
"25","CHD5","Inh PAX6",0.0915661219836485,7.67100365137361,2.40286580075549,0.123515124235418,0.560655466013769,0.560655466013769,"four_group_var"
"26","RPL22","Inh PAX6",-0.0392918516969781,5.71518719474842,0.126302659256413,0.722865869171029,0.941350047605868,0.941350047605868,"four_group_var"
"27","RNF207","Inh PAX6",0.160171898116162,5.4733589475582,1.79244783646108,0.182936679384105,0.632263756840561,0.632263756840561,"four_group_var"
"28","GPR153","Inh PAX6",0.071076884724063,5.30186648418733,0.225327207402526,0.635797387244538,0.90724237612017,0.90724237612017,"four_group_var"
"29","ACOT7","Inh PAX6",-0.167727970398793,6.63116305704403,4.31637833174176,0.0396914134487135,0.373413332772646,0.373413332772646,"four_group_var"
"30","TNFRSF25","Inh PAX6",0.0302610797671566,6.26092673581889,0.105419607745325,0.745935978684902,0.948166602934781,0.948166602934781,"four_group_var"
"31","PLEKHG5","Inh PAX6",-0.134392349312329,5.5820500017808,1.15222375100708,0.285048759532011,0.728906575729454,0.728906575729454,"four_group_var"
"32","DNAJC11","Inh PAX6",0.151296751651983,6.02047394413486,2.50009594519401,0.11624021815383,0.549513580585815,0.549513580585815,"four_group_var"
