"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Inh RYR3 TSHZ2",-0.027725129889164,3.28150850501718,0.0199733810725874,0.887817529220532,0.999946125794551,0.999946125794551,"four_group_var"
"2","AL669831.5","Inh RYR3 TSHZ2",0.189454214898667,5.53846409777508,6.02869003386386,0.0153184310739384,0.491605964138742,0.491605964138742,"four_group_var"
"3","NOC2L","Inh RYR3 TSHZ2",0.100321017252592,4.73034399472944,1.18745148220968,0.277743206323162,0.891759138362706,0.891759138362706,"four_group_var"
"4","HES4","Inh RYR3 TSHZ2",-0.136390045525905,3.78752908279403,0.75296630725657,0.387044967017892,0.910954396159517,0.910954396159517,"four_group_var"
"5","C1orf159","Inh RYR3 TSHZ2",-0.0143555503085373,5.45194493113698,0.0278007591647384,0.867822128946806,0.999946125794551,0.999946125794551,"four_group_var"
"6","SDF4","Inh RYR3 TSHZ2",-0.0223659585003444,5.80366414382936,0.0821258801364534,0.774866641008831,0.999946125794551,0.999946125794551,"four_group_var"
"7","UBE2J2","Inh RYR3 TSHZ2",-0.0601758792648717,5.21932581217078,0.669880077983017,0.436483891381198,0.926239576178762,0.926239576178762,"four_group_var"
"8","SCNN1D","Inh RYR3 TSHZ2",-0.000117541769287831,3.76090829238598,1.43930344894541e-05,0.996978458785532,0.999946125794551,0.999946125794551,"four_group_var"
"9","ACAP3","Inh RYR3 TSHZ2",0.0323628089759998,6.59318328882219,0.402503831673993,0.526849220358701,0.951154479268824,0.951154479268824,"four_group_var"
"10","INTS11","Inh RYR3 TSHZ2",-0.0887862175300286,5.56382531081417,1.5985772758904,0.230617062083279,0.85880691217974,0.85880691217974,"four_group_var"
"11","DVL1","Inh RYR3 TSHZ2",0.137926271671775,4.48856119935283,1.55424750974269,0.214621185512522,0.844840459922708,0.844840459922708,"four_group_var"
"12","AURKAIP1","Inh RYR3 TSHZ2",0.0346616880267049,4.22376042552933,0.073397365581047,0.786857720430087,0.999946125794551,0.999946125794551,"four_group_var"
"13","CCNL2","Inh RYR3 TSHZ2",-0.00180396022284083,6.19274973707135,0.00105099249455361,0.974184735619304,0.999946125794551,0.999946125794551,"four_group_var"
"14","MRPL20","Inh RYR3 TSHZ2",-0.0935079394220151,4.79943011509331,0.845297619504316,0.359490121445519,0.905120488420907,0.905120488420907,"four_group_var"
"15","ATAD3B","Inh RYR3 TSHZ2",0.110665787183736,4.62806368355349,1.2701603220227,0.261692245930474,0.879906253872303,0.879906253872303,"four_group_var"
"16","ATAD3A","Inh RYR3 TSHZ2",0.0847170829461618,4.11609271396344,0.503816882655351,0.479025305634326,0.940347858613748,0.940347858613748,"four_group_var"
"17","SSU72","Inh RYR3 TSHZ2",-0.00958427838310009,5.294996888583,0.0163540267744937,0.898427820589502,0.999946125794551,0.999946125794551,"four_group_var"
"18","FNDC10","Inh RYR3 TSHZ2",-0.124269010093458,3.91063676235655,0.700729965267533,0.403985674745692,0.915838599443745,0.915838599443745,"four_group_var"
"19","MIB2","Inh RYR3 TSHZ2",0.0699211881573505,5.27603239009424,0.779487158440191,0.378833250575482,0.907874818994206,0.907874818994206,"four_group_var"
"20","CDK11B","Inh RYR3 TSHZ2",0.00599738972218257,4.90848853385354,0.00415962548752888,0.948669283513272,0.999946125794551,0.999946125794551,"four_group_var"
"21","SLC35E2B","Inh RYR3 TSHZ2",0.0155933165415618,5.00627345547561,0.0365841710608073,0.899320696614218,0.999946125794551,0.999946125794551,"four_group_var"
"22","CDK11A","Inh RYR3 TSHZ2",-0.0153713423429446,4.31647619899206,0.0125892397972092,0.910826440931759,0.999946125794551,0.999946125794551,"four_group_var"
"23","SLC35E2A","Inh RYR3 TSHZ2",-0.0542723063432957,4.79738370286698,0.254355384421645,0.614829088703934,0.975107861107361,0.975107861107361,"four_group_var"
"24","NADK","Inh RYR3 TSHZ2",-0.0638798928831541,4.34966717211948,0.325000946453242,0.645729122010925,0.976712737928131,0.976712737928131,"four_group_var"
"25","GNB1","Inh RYR3 TSHZ2",-0.00459945641320275,7.61781476736927,0.0126537714651127,0.930239890214947,0.999946125794551,0.999946125794551,"four_group_var"
"26","PRKCZ","Inh RYR3 TSHZ2",0.040654011720974,6.58348283834272,0.778646422535724,0.502279996386047,0.944063785033375,0.944063785033375,"four_group_var"
"27","FAAP20","Inh RYR3 TSHZ2",0.093345455685908,4.29370848812829,0.607344614021024,0.437123643419659,0.92649964615732,0.92649964615732,"four_group_var"
