"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL669831.5","Inh SORCS1 TTN",0.0559981584131226,5.83435364336479,0.119558329667424,0.730272220821344,0.98135558978907,0.98135558978907,"four_group_var"
"2","HES4","Inh SORCS1 TTN",-0.11174147949535,5.37861099237998,0.322913502163054,0.571191647195095,0.949668247529482,0.949668247529482,"four_group_var"
"3","C1orf159","Inh SORCS1 TTN",-0.0872820708003964,6.2841808686258,0.349915205625252,0.555554537133542,0.949668247529482,0.949668247529482,"four_group_var"
"4","SDF4","Inh SORCS1 TTN",0.234432371294427,5.96449336623854,2.20831708315449,0.140552167012529,0.798634120043444,0.798634120043444,"four_group_var"
"5","UBE2J2","Inh SORCS1 TTN",0.305960921610542,5.63909546129161,3.01850830420163,0.0855331472804771,0.770020261564838,0.770020261564838,"four_group_var"
"6","ACAP3","Inh SORCS1 TTN",0.173024686787492,6.63741597238098,2.26597190445886,0.135533532131946,0.79501202789201,0.79501202789201,"four_group_var"
"7","INTS11","Inh SORCS1 TTN",0.0679520026860552,5.88245420007415,0.158361004341092,0.691555473014687,0.974529855052493,0.974529855052493,"four_group_var"
"8","DVL1","Inh SORCS1 TTN",-0.161930530993999,4.98927819512818,0.42907464690162,0.514013242796159,0.935311218068145,0.935311218068145,"four_group_var"
"9","AURKAIP1","Inh SORCS1 TTN",0.151560929732942,4.80277588103872,0.352852451367265,0.553903070571685,0.949668247529482,0.949668247529482,"four_group_var"
"10","CCNL2","Inh SORCS1 TTN",0.087100933344265,6.45421937335905,0.475077335244041,0.492326774704996,0.930713091517864,0.930713091517864,"four_group_var"
"11","MRPL20","Inh SORCS1 TTN",0.00406170818655488,5.39530695944692,0.000619600823693549,0.98101217391185,0.999771856062386,0.999771856062386,"four_group_var"
"12","ATAD3B","Inh SORCS1 TTN",-0.0893020678808493,5.1633264646096,0.195440819423915,0.65942280623523,0.971300941537479,0.971300941537479,"four_group_var"
"13","SSU72","Inh SORCS1 TTN",-0.0365193994147089,5.65514943168428,0.0484060423536481,0.826328645752948,0.99717705233212,0.99717705233212,"four_group_var"
"14","MIB2","Inh SORCS1 TTN",-0.0517372777081383,5.61729142776786,0.0788930689973974,0.779408893183367,0.991639742750038,0.991639742750038,"four_group_var"
"15","SLC35E2A","Inh SORCS1 TTN",0.291938215060166,5.45011566914071,2.46571422082012,0.119652178346562,0.787176289241798,0.787176289241798,"four_group_var"
"16","GNB1","Inh SORCS1 TTN",-0.0576182168416367,8.05708472892925,0.520667253227606,0.472314761086561,0.925163149148329,0.925163149148329,"four_group_var"
"17","GABRD","Inh SORCS1 TTN",-0.0179079948188781,4.95560533407874,0.00259526717176181,0.959476408782002,0.999771856062386,0.999771856062386,"four_group_var"
"18","PRKCZ","Inh SORCS1 TTN",-0.0234350573831178,6.77972770909031,0.0601011356045016,0.856131838232467,0.999771856062386,0.999771856062386,"four_group_var"
"19","SKI","Inh SORCS1 TTN",0.0904872412694293,6.64896937743653,0.580747088046216,0.447891913841979,0.918395250322305,0.918395250322305,"four_group_var"
"20","RER1","Inh SORCS1 TTN",0.110678718668349,5.28458337815701,0.306750692215513,0.580971521571508,0.950198436112629,0.950198436112629,"four_group_var"
"21","CEP104","Inh SORCS1 TTN",-0.107498981080819,5.9832403922972,0.48225513791769,0.489083442141893,0.929765859591863,0.929765859591863,"four_group_var"
"22","DFFB","Inh SORCS1 TTN",0.141796838195666,5.1730060594898,0.376665833799001,0.540847734705529,0.945115640207948,0.945115640207948,"four_group_var"
"23","AJAP1","Inh SORCS1 TTN",0.164311165747221,6.16279093312679,1.21929172531837,0.272265662269416,0.861116350675798,0.861116350675798,"four_group_var"
