"","gene","cluster_id","logFC","logCPM","F","p_val","p_adj.loc","p_adj.glb","coef"
"1","AL627309.1","Oli",-0.0120965004220804,2.70528959923399,0.0200125964804055,0.887715522601919,0.975273597823174,0.975273597823174,"four_group_var"
"2","AL669831.5","Oli",0.0307233473454362,5.00302425960417,0.596342396445725,0.441344220223947,0.749127158420215,0.749127158420215,"four_group_var"
"3","LINC00115","Oli",0.109831072917129,1.39106282614246,0.656575390278812,0.419216073102315,0.730190988358535,0.730190988358535,"four_group_var"
"4","NOC2L","Oli",-0.00644176998334811,4.5937227592502,0.0266940823357204,0.870464195291793,0.971174815912351,0.971174815912351,"four_group_var"
"5","KLHL17","Oli",0.20910343047966,1.79293052771029,4.44598363270032,0.0368549391459352,0.233315429794044,0.233315429794044,"four_group_var"
"6","HES4","Oli",-0.132121352090162,1.78838166160944,1.12140725626394,0.291531145258101,0.618557658872181,0.618557658872181,"four_group_var"
"7","ISG15","Oli",0.241435574041756,1.16268743353281,1.94934322731813,0.164978869333779,0.478514053885007,0.478514053885007,"four_group_var"
"8","AGRN","Oli",-0.0773179304276746,5.22006650385683,1.6130567182141,0.206275584763422,0.533417118418417,0.533417118418417,"four_group_var"
"9","C1orf159","Oli",-0.0584876714935481,5.33576139936668,2.46734006048474,0.118605619658286,0.411423625584111,0.411423625584111,"four_group_var"
"10","SDF4","Oli",0.0241642601137673,5.01428626827819,0.437355414520517,0.509543346274063,0.797039828490161,0.797039828490161,"four_group_var"
"11","B3GALT6","Oli",-0.0269172872231527,2.38196954491198,0.152732325832184,0.726333372857124,0.916449268596501,0.916449268596501,"four_group_var"
"12","UBE2J2","Oli",-0.0257998055985439,5.26405226854901,0.893885724526051,0.346137438017801,0.667047570331116,0.667047570331116,"four_group_var"
"13","LINC01786","Oli",0.0710296678516349,1.77638037638186,0.615490821605648,0.434120135129824,0.74298297069509,0.74298297069509,"four_group_var"
"14","SCNN1D","Oli",-0.0472704980046805,3.28654388115959,0.468817989472299,0.494720476793571,0.787032776145253,0.787032776145253,"four_group_var"
"15","ACAP3","Oli",0.0152484262287442,6.7866174961604,0.14456043035414,0.704394033409684,0.906391479665002,0.906391479665002,"four_group_var"
"16","PUSL1","Oli",0.0714741211687537,1.65002321989265,0.905007446707781,0.343164630061721,0.663838996879051,0.663838996879051,"four_group_var"
"17","INTS11","Oli",-0.00348933214230595,5.82957014008488,0.0110835487357182,0.916313159585005,0.983677886925931,0.983677886925931,"four_group_var"
"18","CPTP","Oli",0.183806634220656,2.46313978302693,8.4382789025133,0.00430272523623404,0.0788088543845403,0.0788088543845403,"four_group_var"
"19","DVL1","Oli",0.0105624980939853,4.62092632509732,0.0865030591684618,0.769128345058643,0.936853426365824,0.936853426365824,"four_group_var"
